address,city,State,zip,type,bedrooms,bathrooms,price,sqft,year built,stories
2012 Springside Dr,Naperville,IL,60565,SingleFamilyResidence,4.0,2,389900,1742,1973,2.0
1243 Redfield Rd,Naperville,IL,60563,SingleFamilyResidence,4.0,3,625000,2900,1984,2.0
908 W  Jefferson Ave,Naperville,IL,60540,SingleFamilyResidence,4.0,3,1000000,2668,1994,2.0
711 N  Loomis St,Naperville,IL,60563,SingleFamilyResidence,4.0,5,975000,3062,2009,2.0
1412 Willcrest Rd,Naperville,IL,60540,SingleFamilyResidence,3.0,2,349900,1727,1971,1.0
1250 E  Bailey Rd,Naperville,IL,60565,SingleFamilyResidence,4.0,3,555000,2400,1981,2.0
6S022 Steeple Run Dr,Naperville,IL,60540,SingleFamilyResidence,3.0,2,299900,1235,1989,2.0
943 Coletta Cir,Naperville,IL,60563,SingleFamilyResidence,3.0,4,515000,2185,2020,3.0
1256 Thackery Ct,Naperville,IL,60564,SingleFamilyResidence,4.0,4,825000,3213,1995,2.0
986 Merrimac Cir,Naperville,IL,60540,SingleFamilyResidence,5.0,3,720000,2506,1981,2.0
Westchester Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,4.0,3,674990,3300,2023,2.0
421 S  Wright St,Naperville,IL,60540,SingleFamilyResidence,3.0,3,494900,1532,1957,1.0
1060 N  Mill St #312,Naperville,IL,60563,SingleFamilyResidence,2.0,2,215000,1080,1980,3.0
3555 Stackinghay Dr,Naperville,IL,60564,SingleFamilyResidence,4.0,3,724900,3875,2018,2.0
953 Anne Rd,Naperville,IL,60540,SingleFamilyResidence,5.0,5,1588000,6400,2023,2.0
1306 Josiah Rd,Naperville,IL,60563,SingleFamilyResidence,3.0,3,558475,1858,2023,2.0
1246 Tennyson Ln   #1246,Naperville,IL,60540,SingleFamilyResidence,2.0,2,250000,1149,1988,1.0
848 Bauer Rd,Naperville,IL,60563,SingleFamilyResidence,4.0,3,975000,2890,1977,1.5
2866 Bond Cir,Naperville,IL,60563,SingleFamilyResidence,3.0,3,435000,1567,2006,1.0
1636 Swallow St,Naperville,IL,60565,SingleFamilyResidence,4.0,3,325000,1579,1972,1.0
The Laguna I Plan in DJK Custom Homes of Downtown Naperville,Naperville,IL,60540,SingleFamilyResidence,3.0,3,991900,2513,2023,2.0
4731 Snapjack Cir,Naperville,IL,60564,SingleFamilyResidence,4.0,4,625000,2394,1995,2.0
Newberry Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,3.0,3,581990,2386,2023,2.0
Lyndale Plan in Breckenridge Estates,Naperville,IL,60565,SingleFamilyResidence,5.0,5,824990,3493,2023,2.0
Hudson Plan in Tall Grass of Naperville,Naperville,IL,60564,SingleFamilyResidence,5.0,5,817990,3414,2023,2.0
2420 Woodlake Ct,Naperville,IL,60564,SingleFamilyResidence,4.0,3,384000,2436,1998,2.0
The Abbey Plan in DJK Custom Homes of Downtown Naperville,Naperville,IL,60540,SingleFamilyResidence,4.0,3,1080900,2959,2023,2.0
3803 Mahogany Ln,Naperville,IL,60564,SingleFamilyResidence,4.0,3,799900,3277,2019,2.0
1220 Whispering Hills Ct #3A,Naperville,IL,60540,SingleFamilyResidence,2.0,1,165000,895,2022,3.0
432 Aspen Ct,Naperville,IL,60540,SingleFamilyResidence,4.0,3,625000,2042,2018,1.0
1529 Raymond Dr #101,Naperville,IL,60563,SingleFamilyResidence,1.0,1,178000,675,1985,1.0
4078 Broadmoor Cir,Naperville,IL,60564,SingleFamilyResidence,6.0,4,679000,3979,2023,2.0
24W660 Lakewood Dr,Naperville,IL,60540,SingleFamilyResidence,4.0,3,629900,2325,1974,2.0
28W516 Leverenz Rd,Naperville,IL,60564,SingleFamilyResidence,4.0,2,434900,2166,1972,1.0
Woodside Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,4.0,3,694990,3277,2023,2.0
Castleton Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,4.0,3,699990,3391,2023,2.0
833 Hyde Park Ln,Naperville,IL,60565,SingleFamilyResidence,3.0,3,479900,2400,1987,2.0
5S455 Columbia St,Naperville,IL,60563,SingleFamilyResidence,5.0,5,1699900,3600,2024,2.0
30W180 Bruce Ln,Naperville,IL,60563,SingleFamilyResidence,3.0,2,339900,1872,1960,1.0
2408 Hattie St,Naperville,IL,60563,SingleFamilyResidence,3.0,3,751990,2495,2024,2.0
The Addison I Plan in DJK Custom Homes of Downtown Naperville,Naperville,IL,60540,SingleFamilyResidence,4.0,4,1139900,3095,2023,2.0
2423 Durango Ln,Naperville,IL,60564,SingleFamilyResidence,3.0,1,324900,1110,1996,1.0
15 S  Huffman St,Naperville,IL,60540,SingleFamilyResidence,1.0,2,419000,624,1951,1.0
621 S  Sleight St,Naperville,IL,60540,SingleFamilyResidence,5.0,5,1365000,5108,2006,3.0
544 Du Pahze St,Naperville,IL,60565,SingleFamilyResidence,4.0,3,685000,3516,1988,2.0
2423 Coastal Sage,Naperville,IL,60563,SingleFamilyResidence,3.0,3,729990,2594,2018,2.0
2724 Wait Rd,Naperville,IL,60564,SingleFamilyResidence,4.0,3,649900,2896,1999,2.0
4328 Carpenter Rd,Naperville,IL,60564,SingleFamilyResidence,6.0,6,1250000,4164,2019,2.0
1004 N  Mill St #211,Naperville,IL,60563,SingleFamilyResidence,2.0,2,239900,1069,1980,3.0
The Brentwood Plan in DJK Custom Homes of Downtown Naperville,Naperville,IL,60540,SingleFamilyResidence,4.0,4,1362900,4057,2023,2.0
Provence Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,2.0,2,451990,1577,2023,1.0
2418 Rivermist Ct,Naperville,IL,60565,SingleFamilyResidence,4.0,4,824900,3669,1988,2.0
Abbeyville Plan in Naper Commons,Naperville,IL,60563,SingleFamilyResidence,2.0,2,561990,1683,2023,1.0
1166 Spring Garden Cir #66,Naperville,IL,60563,SingleFamilyResidence,3.0,2,365000,1770,2023,2.0
3127 Saganashkee Ln,Naperville,IL,60564,SingleFamilyResidence,3.0,3,449000,2697,2006,2.0
108 Baker Ct,Naperville,IL,60565,SingleFamilyResidence,5.0,6,1689900,6638,2006,3.0
616 Driftwood Ct,Naperville,IL,60540,SingleFamilyResidence,6.0,7,2699000,7580,2010,3.0
2456 Weatherbee Ln,Naperville,IL,60563,SingleFamilyResidence,4.0,3,807995,2875,2024,2.0
1255 Wrenson Ave,Naperville,IL,60563,SingleFamilyResidence,5.0,3,849995,3371,2024,2.0
5S571 Tuthill Rd,Naperville,IL,60563,SingleFamilyResidence,4.0,4,1300000,3400,2005,1.0
25W160 Brandywine Ct,Naperville,IL,60540,SingleFamilyResidence,5.0,3,614900,2436,1971,2.0
321 Hemlock Ln,Naperville,IL,60540,SingleFamilyResidence,5.0,3,1185000,3254,2023,2.0
244 E  Bailey Rd #G,Naperville,IL,60565,SingleFamilyResidence,2.0,2,225000,980,1972,3.0
214 E  Bailey Rd #M,Naperville,IL,60565,SingleFamilyResidence,2.0,1,225000,927,1972,1.0
208 E  Bailey Rd,Naperville,IL,60565,SingleFamilyResidence,2.0,2,225000,925,1972,2.0
1308 N  West St,Naperville,IL,60563,SingleFamilyResidence,4.0,3,849900,3024,1967,2.0
The Scarlett Plan in DJK Custom Homes of Downtown Naperville,Naperville,IL,60540,SingleFamilyResidence,3.0,3,1090900,2427,2023,1.0
2103 Leverenz Rd,Naperville,IL,60564,SingleFamilyResidence,5.0,5,999000,4164,1998,2.0
511 Aurora Ave #318,Naperville,IL,60540,SingleFamilyResidence,2.0,2,365000,1192,1986,6.0
428 Westglen Dr,Naperville,IL,60565,SingleFamilyResidence,3.0,3,469000,3066,1983,2.0
2731 Whitehall Ln,Naperville,IL,60564,SingleFamilyResidence,4.0,3,585000,2717,1997,2.0
60 Forest Ave,Naperville,IL,60540,SingleFamilyResidence,6.0,6,2599000,5204,2007,3.0
919 Heathrow Ln,Naperville,IL,60540,SingleFamilyResidence,3.0,4,479900,1632,2017,2.0
Essex Plan in Breckenridge Estates,Naperville,IL,60565,SingleFamilyResidence,5.0,4,784990,3026,2023,2.0
3631 Falkner Dr,Naperville,IL,60564,SingleFamilyResidence,4.0,4,755000,4231,1995,2.0
2812 Cheyenne Dr,Naperville,IL,60565,SingleFamilyResidence,5.0,4,961060,3493,2023,2.0
2631 Regency Ct,Naperville,IL,60565,SingleFamilyResidence,5.0,5,988020,3414,2023,2.0
3104 Mistflower Ln,Naperville,IL,60564,SingleFamilyResidence,5.0,5,1048940,3414,2023,2.0
2115 Sudbury St,Naperville,IL,60564,SingleFamilyResidence,4.0,4,574900,2282,1998,2.0
2010 Lavigne Ln,Northbrook,IL,60062,SingleFamilyResidence,5.0,5,2499000,5500,2023,2.0
2100 Pfingsten Rd,Northbrook,IL,60062,SingleFamilyResidence,6.0,6,2300000,4666,1989,2.0
901 Cedar Ln,Northbrook,IL,60062,SingleFamilyResidence,6.0,6,2199900,4718,2023,2.0
2208 Scott Rd,Northbrook,IL,60062,SingleFamilyResidence,6.0,6,1849900,4048,2023,2.0
2316 Bellevue Pl,Northbrook,IL,60062,SingleFamilyResidence,5.0,6,1750000,3831,2006,2.0
3461 Cornflower Trl,Glenview,IL,60062,SingleFamilyResidence,5.0,5,1475000,5394,2012,2.0
